Item_Fat_Content,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Visibility,Item_Weight,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Outlet_Years,Outlet,Identifier
0,FDA15,249.8092,3735.138,0.016047301,9.3,OUT049,0,1,1,14,9,156
1,DRC01,48.2692,443.4228,0.019278216,5.92,OUT018,2,1,2,4,3,8
0,FDN15,141.618,2097.27,0.016760075,17.5,OUT049,0,1,1,14,9,662
1,FDX07,182.095,732.38,0,19.2,OUT010,2,2,0,15,0,1121
0,NCD19,53.8614,994.7052,0,8.93,OUT013,2,0,1,26,1,1297
1,FDP36,51.4008,556.6088,0,10.395,OUT018,2,1,2,4,3,758
1,FDO10,57.6588,343.5528,0.012741089,13.65,OUT013,2,0,1,26,1,696
0,FDP10,107.7622,4022.7636,0.127469857,19,OUT027,2,1,3,28,5,738
1,FDH17,96.9726,1076.5986,0.016687114,16.2,OUT045,1,2,1,11,7,440
1,FDU28,187.8214,4710.535,0.09444959,19.2,OUT017,1,2,1,6,2,990
0,FDY07,45.5402,1516.0266,0,11.8,OUT049,0,1,1,14,9,1171
1,FDA03,144.1102,2187.153,0.045463773,18.5,OUT046,0,2,1,16,8,147
1,FDX32,145.4786,1589.2646,0.1000135,15.1,OUT049,0,1,1,14,9,1142
1,FDS46,119.6782,2145.2076,0.047257328,17.6,OUT046,0,2,1,16,8,904
0,FDF32,196.4426,1977.426,0.0680243,16.35,OUT013,2,0,1,26,1,375
1,FDP49,56.3614,1547.3192,0.069088961,9,OUT046,0,2,1,16,8,767
0,NCB42,115.3492,1621.8888,0.008596051,11.8,OUT018,2,1,2,4,3,1280
1,FDP49,54.3614,718.3982,0.069196376,9,OUT049,0,1,1,14,9,767
0,DRI11,113.2834,2303.668,0.034237682,8.26,OUT027,2,1,3,28,5,79
0,FDU02,230.5352,2748.4224,0.10249212,13.35,OUT035,1,2,1,9,6,968
1,FDN22,250.8724,3775.086,0.138190277,18.85,OUT013,2,0,1,26,1,666
1,FDW12,144.5444,4064.0432,0.035399923,8.315,OUT027,2,1,3,28,5,1076
0,NCB30,196.5084,1587.2672,0.025698134,14.6,OUT035,1,2,1,9,6,1278
0,FDC37,107.6938,214.3876,0.057556998,15.5,OUT019,0,2,0,28,4,259
1,FDR28,165.021,4078.025,0.025896485,13.85,OUT046,0,2,1,16,8,843
0,NCD06,45.906,838.908,0.099887103,13,OUT017,1,2,1,6,2,1294
1,FDV10,42.3112,1065.28,0.066693437,7.645,OUT035,1,2,1,9,6,1024
0,DRJ59,39.1164,308.9312,0.019356132,11.65,OUT013,2,0,1,26,1,101
1,FDE51,45.5086,178.4344,0.161466534,5.925,OUT010,2,2,0,15,0,350
1,FDC14,43.6454,125.8362,0.072221801,14.5,OUT019,0,2,0,28,4,244
0,FDV38,55.7956,163.7868,0.170348551,19.25,OUT010,2,2,0,15,0,1048
0,NCS17,96.4436,2741.7644,0.080829372,18.6,OUT018,2,1,2,4,3,1480
0,FDP33,256.6672,3068.0064,0,18.7,OUT018,2,1,2,4,3,756
0,FDO23,93.1436,2174.5028,0,17.85,OUT045,1,2,1,11,7,706
0,DRH01,174.8738,2085.2856,0.097904029,17.5,OUT046,0,2,1,16,8,64
0,NCX29,146.7102,3791.0652,0.089291137,10,OUT049,0,1,1,14,9,1533
1,FDV20,128.0678,2797.6916,0.059511812,20.2,OUT027,2,1,3,28,5,1032
1,DRZ11,122.5388,1609.9044,0.113123893,8.85,OUT018,2,1,2,4,3,143
1,FDX10,36.9874,388.1614,0.123111453,6.385,OUT027,2,1,3,28,5,1124
0,FDB34,87.6198,2180.495,0.026480954,15.25,OUT027,2,1,3,28,5,214
0,FDU02,230.6352,3435.528,0.102511504,13.35,OUT046,0,2,1,16,8,968
0,FDK43,126.002,2150.534,0.02681843,9.8,OUT013,2,0,1,26,1,567
0,FDA46,192.9136,2527.3768,0.117818348,13.6,OUT049,0,1,1,14,9,180
0,FDC02,259.9278,6768.5228,0.069102831,21.35,OUT018,2,1,2,4,3,236
1,FDL50,126.5046,373.5138,0.042277867,12.15,OUT013,2,0,1,26,1,611
0,FDM39,178.1002,358.2004,0.089498926,6.42,OUT010,2,2,0,15,0,641
0,NCP05,153.3024,2428.8384,0,19.6,OUT045,1,2,1,11,7,1438
0,FDV49,265.2226,5815.0972,0.025879577,10,OUT045,1,2,1,11,7,1057
1,FDL12,60.622,2576.646,0.121632721,15.85,OUT046,0,2,1,16,8,586
1,FDS02,196.8794,780.3176,0.255394896,10.195,OUT019,0,2,0,28,4,869
0,NCL17,143.8812,3134.5864,0.067779712,7.39,OUT046,0,2,1,16,8,1378
0,FDM40,141.5154,850.8924,0.159803853,10.195,OUT013,2,0,1,26,1,642
1,FDR13,117.0492,810.9444,0.028696932,9.895,OUT013,2,0,1,26,1,830
0,FDA43,196.3794,3121.2704,0.065041581,10.895,OUT017,1,2,1,6,2,177
0,NCP18,151.4708,4815.0656,0.028760013,12.15,OUT017,1,2,1,6,2,1442
0,FDK21,249.0408,6258.52,0.010053105,7.905,OUT018,2,1,2,4,3,553
0,NCX54,106.1622,2117.244,0.048157338,9.195,OUT045,1,2,1,11,7,1538
0,DRK35,38.0506,796.9626,0.071958197,8.365,OUT049,0,1,1,14,9,107
0,FDY21,194.511,4910.275,0.173481304,15.1,OUT046,0,2,1,16,8,1183
0,FDI26,180.0344,892.172,0.061082177,5.94,OUT019,0,2,0,28,4,485
0,FDM20,246.9144,3185.1872,0,10,OUT018,2,1,2,4,3,629
1,FDV27,87.3514,1062.6168,0.040071131,7.97,OUT045,1,2,1,11,7,1039
0,FDF09,38.2848,484.7024,0.012090074,6.215,OUT027,2,1,3,28,5,361
1,FDY40,51.0692,147.8076,0.15028599,15.5,OUT019,0,2,0,28,4,1199
0,FDY45,255.8356,2543.356,0.026015519,17.5,OUT027,2,1,3,28,5,1202
0,FDC46,185.4266,184.4266,0.195068226,17.7,OUT010,2,2,0,15,0,266
0,FDH19,172.5738,4865.6664,0.033082215,19.35,OUT035,1,2,1,9,6,441
1,FDZ03,186.024,1118.544,0.078946455,13.65,OUT045,1,2,1,11,7,1218
0,DRH37,164.8526,2302.3364,0.041700756,17.6,OUT045,1,2,1,11,7,72
0,NCI17,95.841,2027.361,0.143422643,8.645,OUT046,0,2,1,16,8,1343
1,FDJ58,170.1764,3435.528,0.105296072,15.6,OUT046,0,2,1,16,8,541
1,FDL12,59.222,599.22,0.121531501,15.85,OUT013,2,0,1,26,1,586
0,FDH35,164.7526,4604.6728,0,18.25,OUT045,1,2,1,11,7,453
0,FDG02,189.6188,2285.0256,0.011324862,7.855,OUT017,1,2,1,6,2,394
0,NCZ18,254.3698,5580.7356,0.186357148,7.825,OUT049,0,1,1,14,9,1552
1,FDC29,114.0176,2290.352,0.024205661,8.39,OUT046,0,2,1,16,8,254
0,FDQ10,172.3422,1207.0954,0.033230816,12.85,OUT049,0,1,1,14,9,781
0,FDN48,89.9804,643.1628,0.113720344,13.35,OUT019,0,2,0,28,4,682
0,FDL04,104.9622,1587.933,0.112556507,19,OUT017,1,2,1,6,2,582
0,FDV25,222.5456,5305.0944,0,5.905,OUT045,1,2,1,11,7,1037
0,FDD58,101.87,1697.79,0.059352241,7.76,OUT046,0,2,1,16,8,316
1,FDN04,180.3344,1427.4752,0.014087057,11.8,OUT046,0,2,1,16,8,656
0,FDV45,187.9556,4693.89,0.045230944,16.75,OUT018,2,1,2,4,3,1053
0,NCL18,194.6136,583.2408,0.293417759,18.85,OUT019,0,2,0,28,4,1379
1,FDR12,171.3764,3091.9752,0.031382044,12.6,OUT027,2,1,3,28,5,829
1,FDG20,177.0028,2479.4392,0.12639886,15.5,OUT017,1,2,1,6,2,404
0,FDZ55,160.992,2716.464,0.025403898,6.055,OUT035,1,2,1,9,6,1258
